Vd,Id1,Id2
0.277,1.50E-06,1.70E-06
0.308,2.60E-06,3.00E-06
0.315,3.00E-06,3.60E-06
0.322,3.40E-06,4.20E-06
0.335,4.40E-06,5.50E-06
0.347,5.50E-06,7.10E-06
0.376,1.00E-05,1.27E-05
0.397,1.55E-05,1.99E-05
0.45,4.43E-05,6.10E-05
0.46,5.39E-05,7.43E-05
0.473,6.97E-05,9.80E-05
0.503,1.27E-04,1.86E-04
0.506,1.35E-04,1.94E-04
0.509,1.45E-04,2.03E-04
0.519,1.77E-04,2.48E-04
0.523,1.90E-04,2.71E-04
0.525,1.97E-04,2.85E-04
0.528,2.10E-04,3.04E-04
0.53,2.22E-04,3.16E-04
0.535,2.44E-04,3.53E-04
0.54,2.72E-04,3.89E-04
0.545,3.01E-04,4.34E-04
0.548,3.17E-04,4.61E-04
0.556,3.74E-04,5.43E-04
0.56,4.07E-04,5.93E-04
0.564,4.44E-04,6.48E-04
0.567,4.73E-04,6.89E-04
0.571,5.18E-04,7.46E-04
0.575,5.55E-04,8.21E-04
0.59,7.62E-04,1.11E-03
0.607,0.001096,1.59E-03
0.617,0.001359,1.93E-03
0.65,0.00261,3.68E-03
0.675,0.00423,5.95E-03
0.7,0.00687,9.33E-03
0.725,0.01066,1.48E-02
0.75,0.01633,2.25E-02
0.775,0.0243,3.43E-02
0.8,0.0348,4.85E-02
0.823,0.0498,6.81E-02
