v5,vout,ln_vin,ln_vout
1.00E+00,9.54E-01,0.00E+00,3.57E-01
2.00E+00,1.36E+00,6.93E-01,6.05E-01
3.00E+00,1.67E+00,1.10E+00,7.64E-01
4.00E+00,1.94E+00,1.39E+00,8.82E-01
5.00E+00,2.18E+00,1.61E+00,9.78E-01
6.00E+00,2.41E+00,1.79E+00,1.06E+00
7.00E+00,2.62E+00,1.95E+00,1.13E+00
8.00E+00,2.81E+00,2.08E+00,1.19E+00
9.00E+00,3.00E+00,2.20E+00,1.25E+00
1.00E+01,3.18E+00,2.30E+00,1.30E+00
1.10E+01,3.36E+00,2.40E+00,1.34E+00
1.20E+01,3.53E+00,2.48E+00,1.39E+00
1.30E+01,3.70E+00,2.56E+00,1.43E+00
1.40E+01,3.86E+00,2.64E+00,1.47E+00
1.50E+01,4.02E+00,2.71E+00,1.50E+00
1.60E+01,4.18E+00,2.77E+00,1.54E+00
