freq,log(freq),v_o,log(v_o)
10,1,0.84,-0.075720714
25,1.397940009,0.98,-0.008773924
50,1.698970004,1.02,0.008600172
100,2,1.02,0.008600172
150,2.176091259,1.02,0.008600172
200,2.301029996,1.06,0.025305865
250,2.397940009,1.06,0.025305865
300,2.477121255,1.1,0.041392685
350,2.544068044,1.12,0.049218023
400,2.602059991,1.14,0.056904851
450,2.653212514,1.18,0.071882007
500,2.698970004,1.22,0.086359831
600,2.77815125,1.26,0.100370545
700,2.84509804,1.26,0.100370545
800,2.903089987,1.18,0.071882007
900,2.954242509,1.02,0.008600172
1000,3,0.86,-0.065501549
1250,3.096910013,0.552,-0.258060922
1500,3.176091259,0.376,-0.424812155
1750,3.243038049,0.272,-0.565431096
2000,3.301029996,0.204,-0.690369833
2250,3.352182518,0.158,-0.801342913
2500,3.397940009,0.13,-0.886056648
3000,3.477121255,0.09,-1.045757491
3500,3.544068044,0.066,-1.180456064
4000,3.602059991,0.054,-1.26760624
4500,3.653212514,0.04,-1.397940009
5000,3.698970004,0.035,-1.455931956
7500,3.875061263,0.0184,-1.735182177
10000,4,0.0128,-1.89279003
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
5500,3.740362689,0.038,-1.420216403
6000,3.77815125,0.032,-1.494850022
7000,3.84509804,0.025,-1.602059991
8000,3.903089987,0.0196,-1.707743929
9000,3.954242509,0.0176,-1.754487332
10000,4,0.014,-1.853871964
